Date, Open, High, Low, Close
02/12/21, 330.36, 334.99, 334.99, 334.99
02/11/21, 335.48, 330.36, 330.36, 330.36
02/10/21, 329.41, 335.48, 335.48, 335.48
02/09/21, 334.50, 329.41, 329.41, 329.41
02/08/21, 321.10, 334.50, 334.50, 334.50
02/05/21, 318.16, 321.10, 321.10, 321.10
02/04/21, 314.75, 318.16, 318.16, 318.16
02/03/21, 301.85, 314.75, 314.75, 314.75
02/02/21, 298.59, 301.85, 301.85, 301.85
02/01/21, 296.52, 298.59, 298.59, 298.59
01/29/21, 306.92, 296.52, 296.52, 296.52
01/28/21, 303.22, 306.92, 306.92, 306.92
01/27/21, 307.50, 303.22, 303.22, 303.22
01/26/21, 314.17, 307.50, 307.50, 307.50
01/25/21, 317.54, 314.17, 314.17, 314.17
01/22/21, 319.12, 317.54, 317.54, 317.54
01/21/21, 330.47, 319.12, 319.12, 319.12
01/20/21, 329.30, 330.47, 330.47, 330.47
01/19/21, 322.58, 329.30, 329.30, 329.30
01/15/21, 336.14, 322.58, 322.58, 322.58
01/14/21, 326.33, 336.14, 336.14, 336.14
01/13/21, 328.98, 326.33, 326.33, 326.33
01/12/21, 317.86, 328.98, 328.98, 328.98
01/11/21, 312.78, 317.86, 317.86, 317.86
01/08/21, 313.06, 312.78, 312.78, 312.78
01/07/21, 308.45, 313.06, 313.06, 313.06
01/06/21, 299.49, 308.45, 308.45, 308.45
01/05/21, 286.50, 299.49, 299.49, 299.49
01/04/21, 286.14, 286.50, 286.50, 286.50
12/31/20, 288.48, 286.14, 286.14, 286.14
12/30/20, 283.93, 288.48, 288.48, 288.48
12/29/20, 285.82, 283.93, 283.93, 283.93
12/28/20, 287.38, 285.82, 285.82, 285.82
12/24/20, 289.20, 287.38, 287.38, 287.38
12/23/20, 283.04, 289.20, 289.20, 289.20
12/22/20, 288.06, 283.04, 283.04, 283.04
12/21/20, 293.33, 288.06, 288.06, 288.06
12/18/20, 298.33, 293.33, 293.33, 293.33
12/17/20, 300.04, 298.33, 298.33, 298.33
12/16/20, 301.23, 300.04, 300.04, 300.04
12/15/20, 295.55, 301.23, 301.23, 301.23
12/14/20, 306.38, 295.55, 295.55, 295.55
12/11/20, 309.95, 306.38, 306.38, 306.38
12/10/20, 301.14, 309.95, 309.95, 309.95
12/09/20, 300.19, 301.14, 301.14, 301.14
12/08/20, 295.55, 300.19, 300.19, 300.19
12/07/20, 302.94, 295.55, 295.55, 295.55
12/04/20, 287.34, 302.94, 302.94, 302.94
12/03/20, 284.30, 287.34, 287.34, 287.34
12/02/20, 284.30, 284.30, 284.30, 284.30
12/01/20, 274.42, 275.62, 275.62, 275.62
11/30/20, 289.99, 274.42, 274.42, 274.42
11/27/20, 293.66, 289.99, 289.99, 289.99
11/25/20, 300.95, 293.66, 293.66, 293.66
11/24/20, 286.18, 300.95, 300.95, 300.95
11/23/20, 267.24, 286.18, 286.18, 286.18
11/20/20, 268.65, 267.24, 267.24, 267.24
11/19/20, 264.60, 268.65, 268.65, 268.65
11/18/20, 272.44, 264.60, 264.60, 264.60
11/17/20, 271.09, 272.44, 272.44, 272.44
11/16/20, 254.55, 271.09, 271.09, 271.09
11/13/20, 245.21, 254.55, 254.55, 254.55
